beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
3,2.5,2590.0,sqft,6000.0,sqft,98144,795000.0
4,2.0,2240.0,sqft,0.31,acre,98106,915000.0
4,3.0,2040.0,sqft,3783.0,sqft,98107,950000.0
4,3.0,3800.0,sqft,5175.0,sqft,98199,1950000.0
2,2.0,1042.0,sqft,,,98102,950000.0
2,2.0,1190.0,sqft,1.0,acre,98107,740000.0
1,1.0,670.0,sqft,6000.0,sqft,98133,460000.0
5,3.5,4510.0,sqft,6000.0,sqft,98105,3150000.0
3,2.5,1520.0,sqft,741.0,sqft,98108,565000.0
4,2.0,2340.0,sqft,9500.0,sqft,98178,699000.0
3,2.0,1320.0,sqft,1386.0,sqft,98103,899000.0
3,2.0,1800.0,sqft,3993.0,sqft,98177,1050000.0
3,2.5,2490.0,sqft,5757.0,sqft,98103,935625.0
4,3.0,2650.0,sqft,6380.0,sqft,98115,1511000.0
5,1.5,2560.0,sqft,5200.0,sqft,98199,1330000.0
2,1.5,900.0,sqft,,,98133,549755.0
3,3.5,1360.0,sqft,,,98103,700000.0
1,1.0,550.0,sqft,,,98122,330000.0
3,2.5,2974.0,sqft,3840.0,sqft,98119,1750000.0
4,3.5,1989.0,sqft,1607.0,sqft,98117,980000.0
2,2.0,1332.0,sqft,1101.0,sqft,98199,845000.0
4,3.0,2668.0,sqft,5589.0,sqft,98116,1213000.0
2,1.0,770.0,sqft,5250.0,sqft,98133,530000.0
3,1.5,1280.0,sqft,9100.0,sqft,98146,625000.0
5,3.5,3200.0,sqft,9260.0,sqft,98133,1275000.0
2,1.5,889.0,sqft,0.23,acre,98103,680000.0
1,1.0,508.0,sqft,,,98109,325000.0
3,2.0,3140.0,sqft,5000.0,sqft,98117,1219700.0
4,2.0,2000.0,sqft,8077.0,sqft,98125,907200.0
1,1.0,792.0,sqft,,,98101,517000.0
3,2.5,1690.0,sqft,1733.0,sqft,98108,760000.0
4,5.5,3000.0,sqft,5520.0,sqft,98126,1484000.0
3,3.0,1550.0,sqft,1400.0,sqft,98115,950000.0
2,2.0,871.0,sqft,0.29,acre,98119,430000.0
4,1.5,1940.0,sqft,8778.0,sqft,98118,520000.0
1,1.0,474.0,sqft,,,98101,335000.0
3,2.0,1770.0,sqft,3349.0,sqft,98146,805000.0
5,5.0,2510.0,sqft,0.27,acre,98133,1000000.0
1,1.0,750.0,sqft,,,98199,375000.0
1,1.0,573.0,sqft,,,98102,390000.0
3,2.5,1500.0,sqft,1056.0,sqft,98103,1070000.0
5,4.0,2920.0,sqft,6323.0,sqft,98133,948000.0
3,2.0,2817.0,sqft,6375.0,sqft,98103,912000.0
1,1.0,617.0,sqft,0.49,acre,98109,480000.0
2,2.0,1280.0,sqft,3000.0,sqft,98112,776000.0
2,2.0,1523.0,sqft,,,98121,1395000.0
2,1.0,1240.0,sqft,5038.0,sqft,98126,750000.0
4,2.5,2280.0,sqft,3932.0,sqft,98106,1065000.0
5,3.5,3590.0,sqft,0.36,acre,98136,2350000.0
4,3.5,2478.0,sqft,2761.0,sqft,98115,1580000.0
3,3.0,2360.0,sqft,6600.0,sqft,98117,1775000.0
2,1.0,720.0,sqft,7500.0,sqft,98177,600000.0
3,2.0,2480.0,sqft,5829.0,sqft,98126,800000.0
3,2.0,1550.0,sqft,6720.0,sqft,98199,1100000.0
2,1.0,780.0,sqft,3060.0,sqft,98103,750000.0
5,3.0,2820.0,sqft,6250.0,sqft,98136,865000.0
5,3.0,2900.0,sqft,3600.0,sqft,98112,1450000.0
2,2.0,1092.0,sqft,5500.0,sqft,98122,829000.0
3,2.0,1731.0,sqft,7514.0,sqft,98125,575000.0
3,2.5,1500.0,sqft,8240.0,sqft,98105,860000.0
2,2.5,1344.0,sqft,1110.0,sqft,98122,770000.0
4,5.5,4040.0,sqft,8965.0,sqft,98105,5495000.0
5,3.0,2320.0,sqft,0.27,acre,98168,560000.0
5,3.0,2820.0,sqft,6250.0,sqft,98136,900000.0
3,1.0,1070.0,sqft,3840.0,sqft,98117,575000.0
2,1.0,1113.0,sqft,,,98102,595000.0
4,2.0,2100.0,sqft,4864.0,sqft,98117,950000.0
3,2.5,2620.0,sqft,4080.0,sqft,98119,1300000.0
3,2.0,1270.0,sqft,1333.0,sqft,98103,727000.0
3,2.0,2702.0,sqft,6600.0,sqft,98103,1605000.0
4,3.5,2031.0,sqft,1.0,acre,98117,1480000.0
3,2.0,2350.0,sqft,7320.0,sqft,98178,888000.0
4,1.5,2640.0,sqft,7440.0,sqft,98115,1850000.0
3,1.5,1340.0,sqft,5120.0,sqft,98106,615000.0
6,3.5,8660.0,sqft,0.28,acre,98102,4100000.0
2,2.5,1365.0,sqft,,,98118,525000.0
1,1.0,635.0,sqft,,,98104,509950.0
3,1.0,1800.0,sqft,0.27,acre,98168,549000.0
2,1.0,870.0,sqft,6554.0,sqft,98118,555000.0
3,3.5,1510.0,sqft,1239.0,sqft,98103,660000.0
3,1.0,1120.0,sqft,6096.0,sqft,98106,615000.0
4,2.5,2580.0,sqft,0.26,acre,98146,1635000.0
2,2.0,875.0,sqft,,,98115,420000.0
3,4.0,2220.0,sqft,974.0,sqft,98109,1650000.0
1,1.0,607.0,sqft,,,98119,427000.0
3,2.0,1496.0,sqft,1.0,acre,98144,910000.0
4,3.5,2670.0,sqft,3405.0,sqft,98118,1022700.0
2,1.5,1810.0,sqft,6827.0,sqft,98115,925000.0
1,1.0,582.0,sqft,0.5,acre,98109,360000.0
2,2.0,1006.0,sqft,,,98121,928000.0
3,5.5,1530.0,sqft,1336.0,sqft,98103,635000.0
2,1.0,820.0,sqft,5100.0,sqft,98118,490000.0
3,2.0,1960.0,sqft,5000.0,sqft,98105,950000.0
4,3.0,2110.0,sqft,0.24,acre,98133,760000.0
4,3.5,3010.0,sqft,4000.0,sqft,98106,985000.0
3,1.0,2200.0,sqft,5000.0,sqft,98105,1250000.0
3,2.5,1820.0,sqft,4.05,acre,98118,690000.0
4,4.0,3040.0,sqft,4000.0,sqft,98119,1585000.0
3,2.0,1800.0,sqft,6180.0,sqft,98118,936000.0
1,1.0,800.0,sqft,,,98122,450000.0
3,3.0,1450.0,sqft,525.0,sqft,98117,750000.0
1,1.0,756.0,sqft,,,98121,550000.0
1,1.0,742.0,sqft,,,98126,354000.0
4,2.0,2400.0,sqft,5400.0,sqft,98119,1385000.0
2,2.0,1607.0,sqft,,,98101,1865000.0
4,3.5,3057.0,sqft,7650.0,sqft,98117,1800000.0
1,1.0,649.0,sqft,,,98105,346600.0
4,4.0,3142.0,sqft,6000.0,sqft,98119,1600000.0
3,1.0,1050.0,sqft,3750.0,sqft,98106,399950.0
3,2.0,1720.0,sqft,5000.0,sqft,98199,855000.0
3,3.5,2650.0,sqft,8500.0,sqft,98136,1095000.0
2,1.5,2680.0,sqft,6000.0,sqft,98102,1125000.0
4,2.5,2550.0,sqft,5000.0,sqft,98115,1560000.0
9,4.0,3800.0,sqft,6000.0,sqft,98116,1343000.0
2,2.0,1320.0,sqft,,,98125,525000.0
4,2.0,1910.0,sqft,6000.0,sqft,98168,630000.0
2,1.0,773.0,sqft,0.25,acre,98133,360000.0
1,1.0,589.0,sqft,,,98121,375000.0
1,1.0,510.0,sqft,,,98102,302500.0
4,3.5,2661.0,sqft,4081.0,sqft,98108,1165000.0
2,2.0,843.0,sqft,,,98103,346250.0
4,3.0,2250.0,sqft,5250.0,sqft,98115,1150000.0
4,1.5,2080.0,sqft,5000.0,sqft,98116,950000.0
3,3.5,1370.0,sqft,982.0,sqft,98117,699500.0
1,1.0,699.0,sqft,4.27,acre,98115,335000.0
2,3.0,1840.0,sqft,9420.0,sqft,98125,800000.0
4,3.5,3040.0,sqft,0.39,acre,98177,1495000.0
2,1.0,858.0,sqft,,,98144,500000.0
5,8.5,3110.0,sqft,4455.0,sqft,98115,1606500.0
2,2.0,1147.0,sqft,564.0,sqft,98115,749950.0
2,1.0,868.0,sqft,,,98144,415000.0
2,2.5,1538.0,sqft,900.0,sqft,98105,895000.0
2,1.0,1480.0,sqft,4600.0,sqft,98126,720000.0
2,2.0,932.0,sqft,,,98103,435000.0
2,2.0,981.0,sqft,,,98133,450000.0
2,2.0,866.0,sqft,649.0,sqft,98107,555000.0
4,3.5,2000.0,sqft,1532.0,sqft,98115,870000.0
3,3.5,1470.0,sqft,1375.0,sqft,98117,845000.0
2,2.0,1840.0,sqft,5000.0,sqft,98122,1200000.0
4,2.0,2230.0,sqft,5940.0,sqft,98125,925000.0
2,1.5,1290.0,sqft,1332.0,sqft,98115,795000.0
3,2.5,1670.0,sqft,,,98178,600000.0
1,1.0,630.0,sqft,0.24,acre,98146,459000.0
